Ensembl Gene Record	Common Gene Name	Read Count	Log Count	Dist
ENSG00000256338.2	RPL41P2	13	2.5649493574615367	8
ENSG00000256340.8	ABCC6P1	4	1.3862943611198906	4
ENSG00000256364.1	AC069234.2	56	4.02535169073515	12
ENSG00000256377.5	AC009509.1	22	3.091042453358316	9
ENSG00000256417.1	AC006206.2	28	3.332204510175204	10
ENSG00000256433.2	AC005840.2	10	2.302585092994046	7
ENSG00000256443.1	AP003559.1	6	1.791759469228055	5
ENSG00000256453.1	DND1	19	2.9444389791664403	9
ENSG00000256538.1	AC046130.2	4	1.3862943611198906	4
ENSG00000256542.2	AC148477.2	175	5.1647859739235145	16
ENSG00000256546.1	AC156455.1	34	3.5263605246161616	11
ENSG00000256552.2	AC092745.2	6	1.791759469228055	5
ENSG00000256569.1	AC069234.3	32	3.4657359027997265	11
ENSG00000256576.2	LINC02361	170	5.135798437050262	16
ENSG00000256591.5	AP003108.2	14	2.6390573296152584	8
ENSG00000256594.8	AC010186.2	22	3.091042453358316	9
ENSG00000256628.3	ZBTB11-AS1	48	3.871201010907891	12
ENSG00000256633.1	AP005019.1	4	1.3862943611198906	4
ENSG00000256667.6	KLRA1P	52	3.9512437185814275	12
ENSG00000256683.6	ZNF350	107	4.672828834461906	15
ENSG00000256690.1	AP001160.1	19	2.9444389791664403	9
ENSG00000256742.1	AC145422.1	6	1.791759469228055	5
ENSG00000256745.1	AP002784.2	7	1.9459101490553132	6
ENSG00000256747.1	AC009511.2	8	2.0794415416798357	6
ENSG00000256802.2	AC022613.1	9	2.1972245773362196	7
ENSG00000256806.5	C17orf100	15	2.70805020110221	8
ENSG00000256894.1	AC022509.3	8	2.0794415416798357	6
ENSG00000256928.1	AP000763.4	11	2.3978952727983707	7
ENSG00000256943.1	AC148477.3	38	3.6375861597263857	11
ENSG00000256967.1	AC018653.3	8	2.0794415416798357	6
ENSG00000256995.6	AC084816.1	20	2.995732273553991	9
ENSG00000257000.1	AC137590.1	4	1.3862943611198906	4
ENSG00000257027.1	AC010186.3	16	2.772588722239781	8
ENSG00000257038.1	AP002761.3	15	2.70805020110221	8
ENSG00000257084.1	MIR200CHG	11	2.3978952727983707	7
ENSG00000257086.1	AP001453.3	25	3.2188758248682006	10
ENSG00000257108.1	NHLRC4	15	2.70805020110221	8
ENSG00000257122.5	RRN3P3	92	4.5217885770490405	14
ENSG00000257135.5	AC007249.2	7	1.9459101490553132	6
ENSG00000257167.2	TMPO-AS1	82	4.406719247264253	14
ENSG00000257176.2	AC009318.1	22	3.091042453358316	9
ENSG00000257178.5	AC103702.1	17	2.833213344056216	9
ENSG00000257181.1	AC025423.4	17	2.833213344056216	9
ENSG00000257207.5	AC112229.3	9	2.1972245773362196	7
